graph_id,label,feat
165,0,609.16;3;11.82;7.68;2.69;2.1;9.65;5.73;2.89
166,0,586.52;3;11.69;6.53;2.88;2.6;12.96;6.75;3.75
167,0,602.69;2.18;11.87;6.9;3.57;0.5;12.96;6.34;4.19
168,0,639.82;2.88;11.98;7;3.51;1.2;12.96;6.43;4.74
169,0,602;3;11.56;6.84;3.42;0.2;12.78;6.26;4.37
170,0,615.85;3;11.77;6.96;3.09;1.2;12.96;6.37;4.25
171,0,590.58;3;11.95;7.56;2.81;1.3;9.82;6.07;2.96
172,0,565.86;3;11.69;6.89;3.09;1;12.96;6.01;3.48
173,0,608.78;3.08;11.94;6.67;2.92;1.4;12.96;5.61;4.05
174,0,623.46;2.08;11.84;7.27;3.34;0.9;10.56;5.58;3.34
175,0,689.42;2.54;11.69;6.94;3.47;3.1;14.34;6.59;5.14
176,0,567.76;3;11.88;7.09;2.78;0.1;13.06;6.25;3.66
177,0,559.5;3;11.69;7.07;2.89;0.7;12.27;6.72;2.91
178,0,630.49;2.14;11.61;6.19;3.37;0.4;14.07;5.34;4.19
179,0,617.4;2.2;11.69;6.98;3.27;2.24;12.96;6.02;4.4
180,0,883.23;2.11;11.66;7.67;3.24;0.7;14.26;4.8;6.24
181,0,748.49;3;11.69;7.73;2.93;1.95;12.49;5.84;5.15
182,0,590.51;2.2;11.69;6.7;2.98;0.3;12.96;6.05;3.89
183,0,559.5;3;11.69;7.56;2.79;0.2;12.77;6.13;3.29
184,0,596.82;3;11.47;7.59;3.03;1.5;13.05;6.33;3.92
185,0,559.5;3;11.69;7.32;3.1;2.2;12.96;6.56;2.94
186,0,608.07;2;11.69;7.2;3.32;0.1;12.96;6.42;4.02
187,0,702.81;3;11.89;7.04;3.26;2.8;14.86;6.62;5.25
188,0,564.87;2.81;11.71;7.05;2.94;0.5;12.96;6.1;3.38
189,0,623.81;3;11.69;7.06;2.82;1.8;12.96;6.35;4.17
190,0,639.72;3;11.8;7.64;2.83;1.9;11.89;6.36;3.91
191,0,565.38;3;11.82;7.54;2.9;0.3;12.96;6.22;3.49
192,0,591.56;2.09;11.69;6.65;3.15;1.36;12.96;6.48;4.19
193,0,632.95;2.62;11.69;6.96;3.35;0.7;12.96;6.4;4.73
194,0,584.96;3;11.69;6.84;3.05;0.9;12.96;6.17;3.91
195,0,616.46;3;11.69;7.06;2.79;0.9;12.96;6.39;4.11
196,0,584.85;2.45;11.69;6.93;3.13;0.3;12.96;6.29;3.87
197,0,680.5;3;11.69;7.45;2.8;2.1;13.97;6.54;4.84
198,0,596.15;3;11.97;6.86;3.38;0.3;12.68;6.24;4.21
199,0,671.33;3;11.82;6.91;2.82;1.8;12.37;5.85;4.2
200,0,563.73;3;11.85;7.46;2.88;0.2;9.99;6.05;2.79
201,0,559.5;3;11.69;7.21;2.6;1.5;11.47;6.66;2.63
202,0,646.39;3;11.69;6.97;2.8;1.5;12.96;6.47;4.5
203,0,582.56;3;11.69;7.39;2.98;1.5;14.46;6.15;3.89
204,0,667.15;3;11.69;7.54;2.85;0.1;13.1;6.61;4.75
205,0,683.03;2.63;11.69;6.88;3.43;3.1;14.4;6.59;5.14
206,0,655.73;3;11.51;7.2;2.72;0.6;12.4;5.36;4.33
207,0,695.94;2.27;11.69;6.91;3.08;0.5;12.94;5.37;4.46
208,0,651.24;3;11.92;7.14;2.94;2.1;13.25;6.44;4.66
209,0,682.05;2.55;11.14;6.77;2.98;0.6;18.3;6.68;5.9
210,0,628;3;11.7;7.23;2.72;0.3;12.96;6.45;4.2
211,0,729.83;2.24;11.68;6.72;2.76;0.7;15.25;5.99;5.23
212,0,591.18;3;11.77;7.67;2.83;1.5;14.45;6.21;3.89
213,0,561.07;3;12;7.01;2.95;0.2;12.96;6.08;3.34
214,0,622.18;2.9;11.23;7.52;2.76;0.6;12.42;6.23;4.26
215,0,784.8;2.32;11.97;6.92;2.96;0.6;15.23;4.94;6.08
216,0,591.46;3;11.8;7.51;2.78;0.3;12.96;6.24;3.77
217,0,559.5;3;11.85;7.6;2.72;0.1;9.65;5.98;2.62
218,0,751.54;3;11.97;7.08;2.8;1;14.17;5.92;5.43
219,0,559.5;2.44;11.69;7.41;3.33;1.35;9.65;5.62;2.23
220,0,568.3;3;11.7;6.94;3.1;1.2;12.96;5.98;3.58
221,0,564.87;3;11.69;7.09;2.89;0.5;12.96;6.04;3.42
222,0,593.26;2.1;11.82;6.89;3.43;0.3;12.68;6.22;4.1
223,0,670.16;3;11.94;7.5;3.13;2.9;15.95;6.7;5.16
224,0,694.65;2.33;11.69;6.93;3.06;4;12.96;6.53;5.17
225,0,575.89;3;11.69;7.01;2.77;0.2;12.96;6.24;3.74
226,0,703.68;3;11.94;7.33;2.89;2.1;13.26;5.56;4.85
227,0,715.89;3;11.69;7.01;3.38;3.9;15.88;6.66;5.58
228,0,633.73;3;11.69;7;2.79;1.5;12.96;6.42;4.31
229,0,594.38;2.5;11.8;6.83;3.23;2.15;12.96;6.06;4.26
230,0,627.78;3;11.69;7.62;2.87;0.1;13.06;6.49;4.26
231,0,644.62;3;11.69;7.11;2.89;1.93;12.96;5.52;4.24
232,0,633.43;2.84;11.98;7.42;3.06;2.82;9.65;5.46;3
233,0,683.22;2.11;11.71;7.25;3.21;2.4;12.96;6.06;4.91
234,0,597.27;3;11.69;6.81;2.48;0.7;12.96;5.44;3.82
235,0,615.9;3;11.69;7.75;2.96;0.2;15.45;6.44;4.43
236,0,651.65;2.74;10.48;6.7;2.94;0.2;13.99;6.14;4.93
237,0,563.32;3;11.94;7.04;2.84;0.4;12.96;6.21;3.53
238,0,647.86;2.67;11.89;7.15;2.86;2;12.96;6.39;4.39
239,0,712.75;3;11.69;7.61;2.92;2.8;17.84;6.84;5.84
240,0,633.23;3;11.9;7.42;2.96;3.5;12.96;7.06;4.11
241,0,630;2.24;11.69;7.17;3.12;2.35;12.96;6.13;4.17
242,0,559.5;2.92;11.69;7.35;3.06;1.8;9.65;5.87;2.4
243,0,618.93;2.23;11.65;6.95;3.3;1.4;9.65;5.29;3.25
244,0,606.11;2.22;11.68;7.38;3.16;0.1;12.87;5.86;4.07
245,0,671.5;2.65;11.69;7.62;3.04;2.2;13.37;6.48;4.63
246,0,689.24;3;11.97;7.31;2.72;0.8;13.98;6.63;4.98
247,0,595.17;2.11;11.86;7.31;3.46;0.5;12.96;5.36;3.88
248,0,586.7;2.08;11.69;7.48;3.11;1;9.65;5.62;3.07
249,0,565.05;3;11.7;6.95;2.85;0.3;12.71;5.51;3.42
250,0,667.92;3;11.72;7.01;3.23;2.6;13.45;6.52;4.8
251,0,594.12;2.25;11.87;7.21;3.1;0.7;9.65;5.64;3.14
252,0,654.03;3;11.69;7.52;2.76;0.5;12.96;6.55;4.57
253,0,602.41;3;11.69;7.11;2.84;0.4;12.96;6.38;3.96
254,0,642.63;2.84;11.77;7.65;3.05;0.5;12.96;6.55;4.44
255,0,590.62;2.96;11.97;7.52;2.96;0.2;12.96;6.35;3.77
256,0,628.64;2.98;11.82;7.15;2.92;1.2;12.96;6.39;4.23
257,0,559.5;3;11.95;8.1;3.09;0.5;12.49;6.58;3.12
258,0,613.53;2.15;11.94;6.87;3.1;1.41;13.09;6.44;4.48
259,0,596.67;2.26;11.69;6.84;3.14;0.3;12.96;6.21;4.24
260,0,596.05;2.31;11.99;6.88;2.99;0.7;10.34;5.54;3.5
261,0,667.75;3;11.69;7.45;2.8;0.1;13.46;6.62;4.84
262,0,604.3;2.39;11.69;6.92;3.46;1.1;12.96;6.26;4.2
263,0,682.98;2.99;11.69;7.07;2.95;1.5;14;6.6;4.98
264,0,638.55;2.02;11.93;6.73;2.75;0.2;9.89;5.43;3.85
265,0,575.1;3;11.72;7.11;2.86;1.6;12.96;5.12;3.41
266,0,677.57;2.15;11.82;7.1;3.33;0.3;13.26;5.59;4.7
267,0,602.94;3;11.69;7.66;2.9;0.1;12.86;6.4;3.93
268,0,600.48;2.2;11.69;6.93;3.23;2.44;12.96;6.01;4.06
269,0,656.93;3;11.69;7.63;2.89;1.6;17.64;6.51;5.23
270,0,564.08;2.88;11.45;7.65;3.07;0.2;12.55;5.99;3.41
271,0,668.53;2.9;11.7;7;3.24;2.5;13.43;6.53;4.8
272,0,601.06;3;11.69;6.86;3.19;0.1;12.96;6.26;4.38
273,0,726.71;3;11.69;7.82;2.87;1.3;10.81;4.84;4.81
274,0,647.99;3;11.69;7.35;3.01;0.5;12.96;6.5;4.47
275,0,562.25;3;11.82;7.27;2.77;0.2;12.96;6.13;3.36
276,0,567.13;3;11.72;7.05;2.74;0.6;12.96;6.19;3.59
277,0,598.49;2.44;11.69;7.09;3.02;1.38;12.96;6.42;4.04
278,0,559.5;3;11.69;7.7;3.19;0.3;12.96;6.24;3.45
279,0,648.51;3;11.69;6.89;3.03;2.5;12.96;6.44;4.57
280,0,662.08;3;11.69;7.62;2.8;0.4;12.96;6.56;4.62
281,0,601.69;3;11.72;7.69;2.9;0.2;12.96;6.39;3.88
282,0,718.93;3;11.69;7.62;2.91;3.1;17.94;6.87;5.94
283,0,770.34;3;11.77;7.72;2.44;2.53;13.93;5.39;5.37
284,0,705.62;2.24;11.77;7.28;3.1;3.2;15.47;6.55;5.36
285,0,579.36;3;11.89;7.45;2.95;0.1;14.16;6.34;3.95
286,0,559.5;2.28;11.81;7.24;3.24;0.5;12.52;5.83;3.13
287,0,634.58;3;11.79;6.83;3.27;1.5;12.96;6.37;4.59
288,0,568.97;2.53;11.69;7.22;3.08;0.7;12.96;6.17;3.52
289,0,598.65;2.13;11.98;7.26;3.21;0.8;9.65;5.64;3.18
