graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask,feat
20,0,6,1,0,0,0,1.4
20,1,7,2,0,0,0,8.56
20,0,7,3,0,0,0,-4.6
20,6,8,4,0,0,0,3.68
20,0,8,5,0,0,0,11.17
20,5,9,6,0,0,0,8.25
20,4,9,7,0,0,0,5
20,9,10,8,0,0,0,9.65
20,3,10,9,0,0,0,5
20,10,11,10,0,0,0,12.96
20,7,11,11,0,0,0,5.92
20,8,11,12,0,0,0,9.38
21,2,6,0,0,0,0,5
21,0,6,1,0,0,0,-3.7
21,6,7,2,0,0,0,8.62
21,0,7,3,0,0,0,12.19
21,4,8,4,0,0,0,5
21,5,8,5,0,0,0,8.25
21,8,9,6,0,0,0,9.65
21,3,9,7,0,0,0,5
21,9,10,8,0,0,0,12.96
21,7,10,9,0,0,0,4.82
21,1,11,10,0,0,0,-0.2
21,10,11,11,0,0,0,-2.4
21,11,12,12,0,0,0,2.24
21,1,12,13,0,0,0,8.74
21,10,12,14,0,0,0,10.92
22,4,6,0,0,0,0,5
22,5,6,1,0,0,0,8.25
22,2,7,2,0,0,0,5
22,0,7,3,0,0,0,0.5
22,1,8,4,0,0,0,8.56
22,0,8,5,0,0,0,-3.8
22,7,9,6,0,0,0,4.52
22,0,9,7,0,0,0,10.82
22,8,10,8,0,0,0,6.98
22,9,10,9,0,0,0,8.45
22,10,11,10,0,0,0,12.96
22,3,11,11,0,0,0,5
22,6,11,12,0,0,0,9.65
23,2,6,0,0,0,0,5
23,5,7,1,0,0,0,8.25
23,4,7,2,0,0,0,5
23,0,8,3,0,0,0,8.56
23,6,8,4,0,0,0,5
23,1,9,5,0,0,0,8.56
23,8,9,6,0,0,0,-2.6
23,8,10,7,0,0,0,5.85
23,9,10,8,0,0,0,9.77
23,7,11,9,0,0,0,9.65
23,10,11,10,0,0,0,12.96
23,3,11,11,0,0,0,5
24,2,6,0,0,0,0,5
24,0,6,1,0,0,0,-3.3
24,4,7,2,0,0,0,5
